epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31.0075,1.1029,1.75954,1.33498,0.89553,1,0.995,0.4975,1.65504,4.74544,1.3996,3.23629e-05,3.23629e-05,3.23629e-05
43,31.8486,1.43034,1.63293,1.34832,0.92869,1,0.995,0.6965,1.52865,3.69439,1.35746,3.14614e-05,3.14614e-05,3.14614e-05
44,32.6288,1.09568,1.48296,1.2655,0.92869,1,0.995,0.6965,1.52865,3.69439,1.35746,3.04793e-05,3.04793e-05,3.04793e-05
45,33.4519,1.17706,1.45581,1.21945,0.93794,1,0.995,0.6965,1.42806,2.81953,1.32812,2.94166e-05,2.94166e-05,2.94166e-05
46,34.3442,1.22198,1.85414,1.41002,0.93794,1,0.995,0.6965,1.42806,2.81953,1.32812,2.82735e-05,2.82735e-05,2.82735e-05
47,35.1945,1.32882,1.64161,1.31626,0.94204,1,0.995,0.6965,1.33516,2.32763,1.30518,2.70498e-05,2.70498e-05,2.70498e-05
48,36.0448,1.0991,1.51193,1.24809,0.94204,1,0.995,0.6965,1.33516,2.32763,1.30518,2.57457e-05,2.57457e-05,2.57457e-05
49,36.9341,1.20578,1.60088,1.25761,0.93547,1,0.995,0.6965,1.27252,2.05437,1.29134,2.4361e-05,2.4361e-05,2.4361e-05
50,37.7812,1.4001,1.90336,1.33465,0.93547,1,0.995,0.6965,1.27252,2.05437,1.29134,2.28957e-05,2.28957e-05,2.28957e-05
51,39.1536,1.22249,1.92968,1.24954,0.92765,1,0.995,0.6965,1.23254,1.86598,1.28484,2.135e-05,2.135e-05,2.135e-05
52,40.0306,1.30703,1.93604,1.30234,0.92765,1,0.995,0.6965,1.23254,1.86598,1.28484,1.97237e-05,1.97237e-05,1.97237e-05
53,40.8565,1.37068,1.95309,1.37279,0.92765,1,0.995,0.6965,1.23254,1.86598,1.28484,1.8017e-05,1.8017e-05,1.8017e-05
54,41.6623,1.20081,2.04968,1.24203,0.91796,1,0.995,0.6965,1.19486,1.6969,1.28014,1.62297e-05,1.62297e-05,1.62297e-05
55,42.4095,1.19337,2.04556,1.1985,0.91796,1,0.995,0.6965,1.19486,1.6969,1.28014,1.43618e-05,1.43618e-05,1.43618e-05
56,43.1637,1.19456,1.96856,1.28922,0.91796,1,0.995,0.6965,1.19486,1.6969,1.28014,1.24135e-05,1.24135e-05,1.24135e-05
57,44.0142,1.3026,1.88912,1.2655,0.90313,1,0.995,0.6965,1.20594,1.71015,1.28048,1.03846e-05,1.03846e-05,1.03846e-05
58,44.875,1.21531,1.86186,1.33757,0.90313,1,0.995,0.6965,1.20594,1.71015,1.28048,8.27526e-06,8.27526e-06,8.27526e-06
59,45.7327,1.14617,2.04519,1.15833,0.90313,1,0.995,0.6965,1.20594,1.71015,1.28048,6.08536e-06,6.08536e-06,6.08536e-06
60,46.6407,1.3029,1.88716,1.36377,0.88754,1,0.995,0.6965,1.21716,1.74301,1.2793,3.81494e-06,3.81494e-06,3.81494e-06
